epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.07,4.80768,4.12555,4.22267,0.00145,0.18484,0.00129,0.00032,5.08861,4.1822,4.16185,0.00023338,0.00023338,0.00023338
2,201.66,4.50223,3.99732,4.09673,0.00144,0.18326,0.00172,0.00043,5.08935,4.17335,4.1737,0.000478644,0.000478644,0.000478644
3,282.181,4.54331,3.82962,3.86381,0.00154,0.19681,0.0016,0.00039,5.08896,4.12819,4.19128,0.000718957,0.000718957,0.000718957
4,364.596,4.09729,3.51739,3.5534,0.00203,0.25887,0.00623,0.00153,4.62891,3.73423,3.95568,0.000954319,0.000954319,0.000954319
5,446.971,3.88147,3.33276,3.39753,0.00132,0.16439,0.00132,0.00031,5.24725,4.23147,4.51746,0.00118473,0.00118473,0.00118473
6,527.472,3.58883,3.15045,3.19038,0.00166,0.23216,0.00242,0.00054,4.5029,4.03352,3.56179,0.00141019,0.00141019,0.00141019
7,608.519,3.47648,3.10268,3.0917,0.00408,0.11873,0.0026,0.00066,4.66941,4.19005,3.86114,0.00156798,0.00156798,0.00156798
8,691.54,3.38844,3.03566,3.07232,0.06908,0.02615,0.03207,0.00726,3.41228,3.39863,2.92292,0.00155148,0.00155148,0.00155148
9,774.308,3.34306,2.92742,2.99844,0.0998,0.05777,0.03084,0.00718,3.4187,3.26558,2.81331,0.00153497,0.00153497,0.00153497
10,861.958,3.24576,2.91231,2.95298,0.16838,0.15765,0.079,0.0198,3.20559,3.06515,2.69127,0.00151847,0.00151847,0.00151847
11,951.019,3.17367,2.80267,2.87818,0.06831,0.10754,0.03373,0.00721,3.25125,3.39349,2.7479,0.00150197,0.00150197,0.00150197
12,1034.08,3.12132,2.83679,2.83308,0.09056,0.12181,0.03875,0.00979,3.18133,3.10785,2.7104,0.00148546,0.00148546,0.00148546
13,1116.8,3.05975,2.70999,2.75432,0.0722,0.09969,0.0338,0.00818,3.14297,3.11401,2.69312,0.00146896,0.00146896,0.00146896
14,1200.41,2.97454,2.72434,2.72177,0.19362,0.2285,0.11755,0.03288,2.96682,2.74633,2.44533,0.00145246,0.00145246,0.00145246
15,1290.79,2.88004,2.60758,2.62977,0.08877,0.23373,0.04219,0.01125,3.0656,3.91815,2.43279,0.00143595,0.00143595,0.00143595
16,1377.18,2.78483,2.60956,2.57928,0.15163,0.24996,0.09224,0.02549,2.81591,3.12703,2.30212,0.00141945,0.00141945,0.00141945
17,1461.26,2.64672,2.52773,2.52955,0.19777,0.26392,0.13198,0.03926,2.76368,3.0029,2.2959,0.00140295,0.00140295,0.00140295
18,1555.88,2.5343,2.44138,2.45698,0.16432,0.30531,0.13833,0.03443,2.95106,4.50241,2.35964,0.00138644,0.00138644,0.00138644
19,1652.16,2.5021,2.39303,2.40239,0.24853,0.28348,0.19254,0.0638,2.58841,2.49402,2.25395,0.00136994,0.00136994,0.00136994
